question,answers
"Despite shortcomings, what has the filamentous phage has been useful for?","as a carrier for peptides with relatively simple secondary structures, which may be stablilized via anchoring to the coat proteins (Henry et al., 2011) . This may be especially true of peptides with poor inherent immunogenicity, which may be increased by high-valency display and phage-associated adjuvanticity"
What is the result of all species tests of phage particles?," is immunogenic without adjuvant in all species tested to date, including mice (Willis et al., 1993) , rats (Dente et al., 1994) , rabbits (de la Cruz et al., 1988) , guinea pigs (Frenkel et al., 2000; Kim et al., 2004) , fish (Coull et al., 1996; Xia et al., 2005) , non-human primates (Chen et al., 2001) , and humans (Roehnisch et al., 2014) "
What are the results of filamentous phage immunizations in mice?,"serum antibody titers against the phage typically reach 1:10 5 -1:10 6 after 2-3 immunizations, and are maintained for at least 1 year postimmunization (Frenkel et al., 2000) . "
What is the primary antibody response against the phage?,"composed of a mixture of IgM and IgG2b isotypes in C57BL/6 mice, while secondary antibody responses are composed primarily of IgG1 and IgG2b isotypes, with a lesser contribution of IgG2c and IgG3 isotypes (Hashiguchi et al., 2010) ."
Why is phage self-adjuvanting?,"Host cell wall-derived LPS enhances the virion's immunogenicity, and its removal by polymyxin B chromatography reduces antibody titers against phage coat proteins (Grabowska et al., 2000) . The phage's singlestranded DNA genome contains CpG motifs and may also have an adjuvant effect. "
On what does the antibody  response to phage depend on?,"MyD88 signaling and is modulated by stimulation of several Toll-like receptors (Hashiguchi et al., 2010) , indicating that innate immunity plays an important "
What do biodistribution studies of the phage after intravenous injection show?," it is cleared from the blood within hours through the reticuloendothelial system (Molenaar et al., 2002) , particularly of the liver and spleen, where it is retained for days (Zou et al., 2004) , potentially activating marginal-zone B-cell responses. "
What are the merits of the filamentous phage carriers?," the filamentous phage is not only a highly immunogenic carrier, but by virtue of activating a range of innate and adaptive immune responses, serves as an excellent model virus-like particle antigen."
What is a future potential of filamentous phage?, as elements of combination therapeutics against certain drug-resistant infections.
What were more potent inhibitors of Staphylococcus aureus growth than high-concentration free chloramphenicol?,M13 or fd phage displaying either a targeting peptide or antibody fragment and tethered to chloramphenicol by a labile crosslinker 
What killed prostate cancer cells in vitro?,M13 phage loaded with doxorubicin and displaying a targeting peptide on pIII
What was the effect of phage displaying  peptides on tumor?,"Using the B16-OVA tumor model, Eriksson et al. (2007) showed that phage displaying peptides and/or Fabs specific for tumor antigens delayed tumor growth and improved survival, owing in large part to activation of tumor-associated macrophages and recruitment of neutrophils to the tumor site (Eriksson et al., 2009) "
Why is the phage displaying  an scFv against β-amyloid fibrils  is a good diagnostic for Alzheimers and Parkinson's disease?," ability of the phage to penetrate into brain tissue (Ksendzovsky et al., 2012) "
What is the structure of a filamentous phage particle?,"is enclosed by a rod-like protein capsid, ∼1000 nm long and 5 nm wide, made up almost entirely of overlapping pVIII monomers, each of which lies ∼27 angstroms from its nearest neighbor and exposes two amine groups as well as at least three carboxyl groups (Henry et al., 2011)"
What makes filamentous phage ideal scaffold for bioconjugation?,The regularity of the phage pVIII lattice and its diversity of chemically addressable groups
What trials have been done to demonstrate the potential of phage in applications for nanomaterials?,"Lee et al. (2002) engineered M13 phage to display a ZnS-binding peptide on pIII and showed that, in the presence of ZnS nanoparticles, they selfassemble into highly ordered film biomaterials that can be aligned using magnetic fields."
What trials have been done to demonstrate the potential of phage in applications for nanomaterials?,"Taking advantage of the ability to display substrate-specific peptides at known locations on the phage filament Hess et al., 2012) , this pioneering FIGURE 3 | Chemically addressable groups of the filamentous bacteriophage major coat protein lattice. "
What is the filamentous phage varion is made of?,"made up of ∼2,500-4,000 overlapping copies of the 50-residue major coat protein, pVIII, arranged in a shingle-type lattice. Each monomer has an array of chemically addressable groups available for bioorthogonal conjugation, including two primary amine groups (shown in red), three carboxyl groups (show in blue) and two hydroxyl groups (show in green). The 12 N-terminal residues generally exposed to the immune system for antibody binding "
What demonstrate the potential of phage in applications for nanomaterials?,"construction of two-and threedimensional nanomaterials with more advanced architectures, including semiconducting nanowires (Mao et al., 2003 (Mao et al., , 2004 , nanoparticles , and nanocomposites (Oh et al., 2012; Chen et al., 2014)"
What is Clodstridium difficile?,"Gram positive, anaerobic bacterium"
What is sporulation?,adaptive strategy that enables bacteria to survive harsh environmental conditions for prolonged periods of time
What is the key regulator to sporulation?,Spo0A
What are the main virulence factors in C. difficle?,toxins A and B
What laboratory test can be used to monitor protein expression?,Western blot
How is Venezuelan equine encephalitis virus transmitted?,by mosquitoes
What are the symptoms of Venezuelan equine encephalitis virus?,"fever, malaise, and vomiting"
What is the mortality rate of Venezuelan equine encephalitis virus in children?,35%
What is the mortality rate of Venezuelan equine encephalitis virus in adults?,10%
What vaccine can be used to prevent Venezuelan equine encephalitis virus?,TC83
